Id,year,month,day,precip,tmax,tmin,basin_cfs,runoff (same in datafile),delta_e
252,2003,6,9,0.02,78.1,57.4,15.542422,20,4.457578
253,2003,6,10,0.02,79.1,57.9,16.667872,20,3.332128
254,2003,6,11,0,80.7,52.9,16.099369,21,4.900631
255,2003,6,12,0.01,75.7,50.5,18.397715,20,1.602285
256,2003,6,13,0,78.3,48.7,17.293519,19,1.706481
257,2003,6,14,0,79,53.2,16.892783,18,1.107217
258,2003,6,15,0,85,55.3,16.652882,18,1.347118
259,2003,6,16,0,86.3,55.6,16.287468,17,0.712532
260,2003,6,17,0,80.4,56.6,15.805369,17,1.194631
261,2003,6,18,0,84.1,58.4,15.424108,16,0.575892
262,2003,6,19,0,87.1,62.5,14.958646,16,1.041354
263,2003,6,20,0,85,57.9,14.34671,15,0.65329
264,2003,6,21,0,69.8,48.8,13.733911,15,1.266089
265,2003,6,22,0,69.6,45.2,13.309989,14,0.690011
266,2003,6,23,0.13,74.4,43.2,15.131876,14,-1.131876
267,2003,6,24,0.46,58.8,38.4,15.358332,14,-1.358332
268,2003,6,25,0.11,57.7,36.9,14.144368,13,-1.144368
269,2003,6,26,0,66.8,43.5,13.81348,13,-0.81348
270,2003,6,27,0,74.5,49.1,13.870527,12,-1.870527
271,2003,6,28,0,82.1,55.1,13.843676,12,-1.843676
272,2003,6,29,0,85,56.7,13.223935,11,-2.223935
273,2003,6,30,0,90.3,62.5,12.505122,11,-1.505122
274,2003,7,1,0,88.9,62.3,11.686729,11,-0.686729
275,2003,7,2,0,86.6,54.5,11.003341,10,-1.003341
276,2003,7,3,0,88.6,55.8,10.420506,10,-0.420506
277,2003,7,4,0,87.1,57.4,9.820768,9.8,-0.020768
278,2003,7,5,0,87.8,59.4,9.27434,9.3,0.02566
279,2003,7,6,0,90.7,59.8,8.749136,9.4,0.650864
280,2003,7,7,0,90,60.6,8.233957,9.1,0.866043
281,2003,7,8,0,92.4,64.5,7.757925,8.7,0.942075
282,2003,7,9,0,89.2,57.5,7.274299,8.4,1.125701
283,2003,7,10,0,89.9,57.6,6.868168,8.4,1.531832
284,2003,7,11,0,93.5,68.1,6.479946,7.9,1.420054
285,2003,7,12,0,94.4,64,6.06571,7.3,1.23429
286,2003,7,13,0,94.8,64.6,5.710297,7.1,1.389703
287,2003,7,14,0,95.3,64.3,5.374138,6.8,1.425862
288,2003,7,15,0,93.9,65.3,5.058694,6.4,1.341306
289,2003,7,16,0,92.5,67.8,4.768651,6.1,1.331349
290,2003,7,17,0,92.9,64.6,4.49811,6.3,1.80189
291,2003,7,18,0,90.8,66.3,4.248928,6.1,1.851072
292,2003,7,19,0.02,93,65.5,4.091753,5.8,1.708247
